63,23,42,88,93,80,86,58,69,23,48,68,21,12,88,97,87,35,75,5,53,45,33,38,25,96,18,99,24,18,53,39,61,17,23,18,100,1,73,50,84,18,72,74,5,26,27,23,9,86,49,8,57,71,24,97,77,28,37,26,7,100,14,59,22,48,61,40,21,22,48,38,65,80,98,86,78,87,27,39,26,18,10,35,32,47,100,72,62,43,13,62,91,12,100,14,30,22,34,32,0,39,83,64,79,66,97,88,81,37,71,59,65,91,95,40,25,95,47,44,65,10,50,92,14,22,96,50,79,56,100,43,28,98,37,24,29,10,38,49,51,22,98,8,25,66,57,86,4,88,67,35,95,15,35,41,56,85,57,16,31,70,60,65,37,92,51,88,93,66,87,52,0,62,20,31,79,96,48,29,73,60,70,31,13,34,39,96,73,81,65,91,65,49,56,99,0,34,48,48
59,3,2,65,34,72,51,38,4,69,66,11,98,33,44,18,37,24,50,56,48,20,14,92,30,72,15,95,43,42,16,3,74,21,39,21,84,66,93,40,54,66,50,52,69,70,21,11,97,59,48,84,13,33,57,18,24,40,48,16,14,37,92,81,12,48,47,79,38,5,34,65,58,3,75,45,77,93,42,7,30,61,32,52,64,14,37,37,100,85,52,51,72,49,24,72,39,15,35,87,55,33,76,20,100,18,37,72,49,27,95,16,24,1,84,1,69,69,2,84,30,52,100,54,14,98,41,40,91,53,79,94,90,78,52,19,79,14,93,61,98,82,24,72,0,17,41,30,47,23,63,91,88,52,79,22,14,73,38,4,12,2,69,32,44,7,30,93,96,69,47,20,74,85,91,59,0,38,62,24,26,9,15,7,20,33,47,36,15,18,22,42,16,27,60,69,26,71,42,20
78,53,20,44,20,93,43,40,33,14,77,99,66,65,74,72,21,84,10,2,40,72,6,80,38,46,31,8,56,68,73,97,46,77,66,12,8,14,21,9,24,4,15,21,20,93,33,68,88,55,39,52,43,43,95,4,17,41,66,35,39,27,17,93,73,94,25,51,78,17,6,98,19,30,49,16,64,24,15,53,57,3,32,88,58,30,63,57,47,77,91,60,39,36,7,66,41,28,65,27,73,31,53,100,89,74,42,93,60,65,66,19,82,80,26,13,3,99,77,3,16,93,24,29,60,61,6,85,84,74,73,32,91,61,23,99,56,1,31,92,51,99,24,18,17,75,47,49,1,18,16,11,34,18,2,55,16,61,92,80,60,86,73,60,81,44,71,66,98,3,61,32,73,93,84,70,68,87,80,0,45,44,36,14,37,41,24,79,54,26,32,11,32,64,35,77,53,64,87,38
95,11,9,66,2,70,15,93,7,6,77,80,48,89,79,18,4,34,5,39,81,42,43,1,71,3,97,1,60,27,89,89,88,1,71,13,82,77,92,8,91,99,41,56,72,99,3,27,7,34,41,97,20,1,16,91,88,72,38,73,77,6,51,50,48,1,79,45,14,29,37,0,34,99,3,58,78,2,59,48,38,40,17,63,7,89,61,99,6,44,8,37,98,17,42,55,23,44,61,16,44,45,93,55,60,82,51,60,46,38,52,7,84,10,91,43,6,89,31,46,54,17,44,20,15,15,75,21,44,93,9,99,95,32,39,18,41,17,67,81,16,72,7,72,40,22,72,88,74,46,24,3,99,40,40,24,75,17,97,17,42,82,74,73,2,88,4,57,51,12,9,8,96,29,61,77,78,13,46,58,20,18,81,43,82,80,81,95,18,84,95,47,83,75,95,21,52,45,81,59
50,42,44,99,26,74,64,56,55,49,65,55,48,20,97,36,70,69,32,66,58,93,18,89,75,12,80,83,62,85,42,11,68,25,85,29,16,92,37,26,50,57,78,2,77,19,61,93,21,84,39,23,39,18,25,65,94,82,55,6,24,13,9,1,10,70,53,83,9,79,91,66,47,89,48,43,77,82,89,78,41,72,42,38,92,28,84,83,75,61,93,21,4,82,70,73,81,61,94,10,62,81,48,3,4,86,87,28,88,30,93,82,53,36,66,62,85,85,93,22,96,23,87,65,47,68,23,71,28,42,40,68,72,35,2,2,61,47,8,9,19,32,22,28,34,44,21,59,15,41,34,89,47,51,17,1,29,79,15,45,97,86,17,21,68,41,74,53,98,80,87,92,87,24,75,29,50,1,79,93,78,58,21,79,4,88,88,23,56,90,7,82,95,34,86,36,44,80,100,21
70,64,94,7,92,35,30,50,49,95,42,85,53,53,41,99,15,5,23,64,67,41,55,52,56,3,61,61,60,87,81,46,66,56,16,29,11,72,27,85,60,20,47,32,65,95,85,49,31,42,60,2,19,82,23,8,79,18,96,9,6,18,35,58,18,66,28,52,60,13,62,57,19,48,7,98,90,51,51,66,19,85,15,94,18,91,75,89,70,20,86,94,46,31,39,64,9,54,84,94,66,32,29,1,9,47,31,14,17,8,42,73,15,37,82,86,43,64,22,7,28,45,11,70,6,13,97,33,25,43,48,73,63,75,100,96,1,16,70,29,44,61,11,57,48,100,31,4,79,71,47,32,45,3,80,11,33,19,67,49,88,83,46,13,43,11,93,54,48,67,24,10,0,19,16,67,78,48,6,57,94,48,46,100,3,20,37,82,100,97,88,49,21,40,83,77,13,9,67,76
91,59,79,37,100,82,55,3,14,11,49,63,20,35,49,63,89,92,36,75,85,40,64,80,7,54,13,32,61,16,65,27,27,69,84,16,40,50,21,1,34,73,61,42,73,76,43,37,12,54,48,96,6,57,19,16,42,45,47,57,21,82,14,78,75,11,46,96,23,10,39,94,47,27,82,47,36,10,8,3,14,77,50,78,60,9,52,23,54,17,100,72,68,75,77,87,10,66,47,43,77,11,47,83,51,43,88,84,3,6,37,63,0,7,74,13,89,77,84,38,86,18,6,86,52,47,70,71,78,99,77,22,72,67,83,83,46,4,1,0,56,63,52,16,45,12,78,87,62,21,73,76,70,30,3,57,27,61,18,1,71,67,51,51,60,16,11,5,67,82,2,38,11,73,15,47,100,15,67,96,13,7,56,31,87,83,30,15,99,23,87,26,51,45,60,13,78,96,21,69
31,70,84,79,41,16,76,4,58,34,50,47,66,35,82,54,70,95,54,71,37,78,49,73,4,40,73,56,19,72,85,36,30,12,58,23,89,100,10,31,3,84,37,59,77,0,72,69,90,67,56,21,22,47,57,65,75,87,27,81,70,38,38,32,14,94,89,35,68,12,56,38,44,64,74,74,14,6,63,90,22,46,42,97,14,90,81,64,11,28,74,64,65,90,27,89,67,33,85,2,74,98,37,43,10,41,18,80,71,34,2,31,75,8,10,95,51,20,99,19,45,50,67,40,51,19,49,61,34,73,41,94,7,31,69,95,89,88,46,50,2,3,64,55,25,91,54,86,83,94,91,16,15,94,72,6,8,94,97,16,86,55,64,64,68,21,58,90,45,15,50,40,53,98,3,13,63,78,74,43,0,94,28,97,74,97,4,73,88,63,91,91,45,17,10,13,66,0,64,40
79,76,100,97,2,92,55,7,51,42,50,39,3,10,76,18,53,86,97,96,45,39,62,62,39,13,47,62,30,94,83,65,49,14,6,16,72,99,36,47,50,41,51,85,24,63,17,46,21,82,70,30,63,56,20,94,60,94,89,9,15,70,41,64,57,21,20,68,60,10,44,52,74,76,27,61,57,71,80,80,86,16,50,62,36,82,1,5,20,21,71,27,28,91,55,100,30,24,3,11,32,57,5,86,41,62,24,29,94,17,74,29,40,9,87,45,80,60,26,59,77,54,47,42,99,75,32,90,80,33,39,60,24,87,71,64,55,17,28,48,7,21,77,65,22,92,90,78,11,76,73,12,74,89,96,52,30,7,96,44,69,57,34,75,75,18,74,62,29,8,84,74,17,79,15,19,43,21,83,69,79,16,75,69,37,96,81,3,75,93,48,76,73,0,68,88,2,38,57,40
44,83,16,85,33,0,75,88,72,83,61,77,44,86,45,100,20,54,64,99,21,55,65,27,3,3,100,40,73,68,38,75,17,36,33,42,41,61,89,12,35,52,23,49,73,77,9,65,90,82,0,32,68,94,20,8,88,95,100,17,17,37,66,14,7,41,92,58,44,16,74,33,92,84,16,91,52,26,79,64,55,63,7,98,55,89,94,91,5,31,85,30,25,31,5,15,93,39,73,62,62,65,83,22,9,76,39,78,83,74,51,56,11,17,97,12,66,21,73,46,12,41,56,19,92,7,56,45,22,51,81,96,82,12,63,87,86,62,44,28,68,74,33,13,63,35,48,19,32,8,80,56,40,35,57,19,27,59,59,53,73,76,59,35,81,91,90,24,72,13,86,50,43,71,28,92,47,7,49,91,94,32,80,72,74,92,41,95,63,81,36,81,85,28,39,88,44,38,36,92
